
Generated by:                                     score_maxdiff.pl
Mechanical Turk File:                             Training/Phase2Answers/Phase2Answers-3a.txt
Test File:                                        NLM/NLMMaxDiff-3a.txt
Number of MaxDiff Questions:                      108
Number of Least Illustrative Guessed Correctly:   42
Number of Least Illustrative Guessed Incorrectly: 66
Accuracy of Least Illustrative Guesses:            38.9%
Number of Most Illustrative Guessed Correctly:    46
Number of Most Illustrative Guessed Incorrectly:  62
Accuracy of Most Illustrative Guesses:             42.6%
Overall Accuracy:                                  40.7%
