#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            NLM/NLMScaled-4c.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-4c.txt
#   MaxDiff Answers File:         NLM/NLMMaxDiff-4c.txt
#   Number of Unique Pairs:       43
#   Number of MaxDiff Questions:  108
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"peace:war" "white:black" "agree:argue" "lower:raise" "white:black" "agree:argue"
"working:relaxing" "eat:fast" "shout:whisper" "lie:confess" "eat:fast" "lie:confess"
"freeze:thaw" "entreat:demand" "progress:regress" "walk:sit" "freeze:thaw" "progress:regress"
"beautify:desecrate" "eat:starve" "swim:drown" "charm:repulse" "swim:drown" "charm:repulse"
"poop:eat" "attract:repel" "injure:heal" "fill:empty" "attract:repel" "poop:eat"
"fail:succeed" "embrace:abandon" "agree:force" "go:stay" "agree:force" "embrace:abandon"
"force:agree" "offend:appease" "birth:death" "abandon:embrace" "abandon:embrace" "force:agree"
"criticize:praise" "go:stop" "break:repair" "fight:reconcile" "criticize:praise" "fight:reconcile"
"dirty:clean" "eat:poop" "sleep:wake" "repair:break" "eat:poop" "sleep:wake"
"verbose:silent" "despair:joy" "decorate:trash" "joy:despair" "decorate:trash" "joy:despair"
"hope:fear" "hurt:protect" "praise:criticize" "eat:poop" "eat:poop" "hurt:protect"
"go:stop" "lower:raise" "decorate:trash" "white:black" "decorate:trash" "go:stop"
"fill:empty" "birth:death" "repair:break" "sleep:wake" "fill:empty" "sleep:wake"
"progress:regress" "criticize:praise" "hope:fear" "agree:force" "agree:force" "progress:regress"
"force:agree" "fail:succeed" "eat:fast" "swim:drown" "eat:fast" "force:agree"
"despair:joy" "praise:criticize" "fight:reconcile" "peace:war" "peace:war" "fight:reconcile"
"lie:confess" "joy:despair" "shout:whisper" "embrace:abandon" "joy:despair" "lie:confess"
"entreat:demand" "offend:appease" "abandon:embrace" "working:relaxing" "abandon:embrace" "working:relaxing"
"walk:sit" "agree:argue" "injure:heal" "go:stay" "walk:sit" "agree:argue"
"break:repair" "hurt:protect" "charm:repulse" "eat:starve" "eat:starve" "hurt:protect"
"poop:eat" "verbose:silent" "freeze:thaw" "beautify:desecrate" "freeze:thaw" "poop:eat"
"attract:repel" "dirty:clean" "working:relaxing" "birth:death" "attract:repel" "working:relaxing"
"eat:starve" "fight:reconcile" "injure:heal" "joy:despair" "eat:starve" "fight:reconcile"
"agree:force" "lie:confess" "attract:repel" "progress:regress" "agree:force" "lie:confess"
"sleep:wake" "eat:fast" "break:repair" "beautify:desecrate" "eat:fast" "sleep:wake"
"white:black" "verbose:silent" "shout:whisper" "criticize:praise" "white:black" "shout:whisper"
"eat:poop" "lower:raise" "go:stop" "walk:sit" "eat:poop" "go:stop"
"fail:succeed" "despair:joy" "fill:empty" "praise:criticize" "fill:empty" "praise:criticize"
"hurt:protect" "go:stay" "abandon:embrace" "swim:drown" "abandon:embrace" "hurt:protect"
"force:agree" "decorate:trash" "agree:argue" "repair:break" "decorate:trash" "force:agree"
"offend:appease" "charm:repulse" "entreat:demand" "dirty:clean" "offend:appease" "dirty:clean"
"freeze:thaw" "peace:war" "hope:fear" "embrace:abandon" "freeze:thaw" "embrace:abandon"
"poop:eat" "verbose:silent" "criticize:praise" "white:black" "white:black" "poop:eat"
"charm:repulse" "embrace:abandon" "offend:appease" "injure:heal" "offend:appease" "embrace:abandon"
"dirty:clean" "birth:death" "lower:raise" "working:relaxing" "birth:death" "working:relaxing"
"abandon:embrace" "fail:succeed" "break:repair" "hope:fear" "abandon:embrace" "break:repair"
"fight:reconcile" "lie:confess" "beautify:desecrate" "hurt:protect" "beautify:desecrate" "lie:confess"
"shout:whisper" "force:agree" "peace:war" "entreat:demand" "entreat:demand" "force:agree"
"agree:argue" "agree:force" "poop:eat" "repair:break" "agree:force" "poop:eat"
"walk:sit" "go:stay" "decorate:trash" "attract:repel" "decorate:trash" "go:stay"
"despair:joy" "eat:poop" "fill:empty" "freeze:thaw" "freeze:thaw" "despair:joy"
"go:stop" "praise:criticize" "progress:regress" "swim:drown" "swim:drown" "progress:regress"
"sleep:wake" "joy:despair" "eat:fast" "eat:starve" "eat:fast" "sleep:wake"
"embrace:abandon" "beautify:desecrate" "peace:war" "sleep:wake" "peace:war" "embrace:abandon"
"fight:reconcile" "white:black" "break:repair" "injure:heal" "white:black" "fight:reconcile"
"working:relaxing" "walk:sit" "despair:joy" "lie:confess" "despair:joy" "lie:confess"
"joy:despair" "fail:succeed" "charm:repulse" "force:agree" "fail:succeed" "force:agree"
"progress:regress" "eat:fast" "eat:poop" "freeze:thaw" "freeze:thaw" "progress:regress"
"entreat:demand" "poop:eat" "praise:criticize" "offend:appease" "offend:appease" "poop:eat"
"birth:death" "shout:whisper" "repair:break" "go:stop" "repair:break" "go:stop"
"abandon:embrace" "lower:raise" "fill:empty" "hope:fear" "abandon:embrace" "lower:raise"
"attract:repel" "criticize:praise" "decorate:trash" "dirty:clean" "decorate:trash" "dirty:clean"
"go:stay" "eat:starve" "agree:argue" "agree:force" "agree:force" "agree:argue"
"hurt:protect" "verbose:silent" "swim:drown" "break:repair" "swim:drown" "hurt:protect"
"beautify:desecrate" "dirty:clean" "birth:death" "eat:starve" "beautify:desecrate" "dirty:clean"
"joy:despair" "embrace:abandon" "progress:regress" "lower:raise" "joy:despair" "embrace:abandon"
"praise:criticize" "peace:war" "go:stop" "white:black" "white:black" "go:stop"
"go:stay" "charm:repulse" "injure:heal" "despair:joy" "despair:joy" "go:stay"
"fight:reconcile" "lie:confess" "sleep:wake" "force:agree" "sleep:wake" "lie:confess"
"entreat:demand" "decorate:trash" "criticize:praise" "eat:poop" "decorate:trash" "criticize:praise"
"freeze:thaw" "fail:succeed" "offend:appease" "repair:break" "freeze:thaw" "fail:succeed"
"walk:sit" "eat:fast" "agree:force" "shout:whisper" "agree:force" "walk:sit"
"abandon:embrace" "verbose:silent" "poop:eat" "fill:empty" "abandon:embrace" "poop:eat"
"swim:drown" "attract:repel" "agree:argue" "hurt:protect" "attract:repel" "hurt:protect"
"hope:fear" "working:relaxing" "swim:drown" "go:stop" "swim:drown" "working:relaxing"
"embrace:abandon" "white:black" "offend:appease" "fail:succeed" "offend:appease" "embrace:abandon"
"attract:repel" "charm:repulse" "lie:confess" "fill:empty" "attract:repel" "lie:confess"
"fight:reconcile" "abandon:embrace" "repair:break" "peace:war" "abandon:embrace" "fight:reconcile"
"decorate:trash" "despair:joy" "lower:raise" "agree:force" "decorate:trash" "lower:raise"
"go:stay" "freeze:thaw" "criticize:praise" "working:relaxing" "freeze:thaw" "working:relaxing"
"walk:sit" "injure:heal" "sleep:wake" "verbose:silent" "verbose:silent" "sleep:wake"
"birth:death" "eat:poop" "shout:whisper" "agree:argue" "eat:poop" "agree:argue"
"eat:starve" "joy:despair" "poop:eat" "praise:criticize" "eat:starve" "poop:eat"
"eat:fast" "progress:regress" "break:repair" "dirty:clean" "eat:fast" "progress:regress"
"beautify:desecrate" "hope:fear" "hurt:protect" "force:agree" "hope:fear" "hurt:protect"
"entreat:demand" "progress:regress" "swim:drown" "eat:poop" "eat:poop" "progress:regress"
"attract:repel" "offend:appease" "repair:break" "eat:starve" "offend:appease" "eat:starve"
"peace:war" "fill:empty" "go:stop" "hope:fear" "fill:empty" "go:stop"
"embrace:abandon" "break:repair" "injure:heal" "lower:raise" "injure:heal" "embrace:abandon"
"white:black" "praise:criticize" "walk:sit" "sleep:wake" "white:black" "sleep:wake"
"birth:death" "working:relaxing" "entreat:demand" "fail:succeed" "entreat:demand" "working:relaxing"
"poop:eat" "charm:repulse" "dirty:clean" "force:agree" "charm:repulse" "force:agree"
"agree:argue" "verbose:silent" "freeze:thaw" "hurt:protect" "freeze:thaw" "hurt:protect"
"go:stay" "joy:despair" "fight:reconcile" "shout:whisper" "joy:despair" "fight:reconcile"
"eat:fast" "agree:force" "abandon:embrace" "decorate:trash" "decorate:trash" "eat:fast"
"lie:confess" "criticize:praise" "despair:joy" "beautify:desecrate" "criticize:praise" "lie:confess"
"agree:force" "force:agree" "abandon:embrace" "hurt:protect" "abandon:embrace" "hurt:protect"
"white:black" "working:relaxing" "decorate:trash" "beautify:desecrate" "decorate:trash" "working:relaxing"
"dirty:clean" "walk:sit" "entreat:demand" "offend:appease" "offend:appease" "dirty:clean"
"swim:drown" "hope:fear" "birth:death" "fight:reconcile" "swim:drown" "fight:reconcile"
"agree:argue" "injure:heal" "go:stop" "fill:empty" "fill:empty" "go:stop"
"repair:break" "joy:despair" "go:stay" "eat:poop" "eat:poop" "go:stay"
"progress:regress" "despair:joy" "peace:war" "eat:fast" "eat:fast" "progress:regress"
"shout:whisper" "eat:starve" "lower:raise" "embrace:abandon" "eat:starve" "embrace:abandon"
"poop:eat" "break:repair" "lie:confess" "sleep:wake" "break:repair" "lie:confess"
"verbose:silent" "criticize:praise" "fail:succeed" "praise:criticize" "criticize:praise" "praise:criticize"
"attract:repel" "charm:repulse" "freeze:thaw" "embrace:abandon" "freeze:thaw" "embrace:abandon"
