#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            NLM/NLMScaled-3a.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-3a.txt
#   MaxDiff Answers File:         NLM/NLMMaxDiff-3a.txt
#   Number of Unique Pairs:       43
#   Number of MaxDiff Questions:  108
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"option:choice" "cute:adorable" "abode:house" "bathroom:restroom" "cute:adorable" "option:choice"
"urban:city" "old:mature" "candy:sweets" "restroom:bathroom" "restroom:bathroom" "candy:sweets"
"organization:club" "careful:cautious" "house:home" "seat:chair" "seat:chair" "house:home"
"couch:sofa" "bathroom:lavatory" "spectacles:glasses" "spin:twirl" "spectacles:glasses" "spin:twirl"
"flammable:inflammable" "big:large" "kid:child" "boat:ship" "big:large" "kid:child"
"dream:fantasize" "music:tunes" "stick:attach" "cellphone:mobile" "music:tunes" "dream:fantasize"
"glass:cup" "run:sprint" "tedious:monotonous" "sofa:chair" "sofa:chair" "run:sprint"
"beautiful:pretty" "sleep:doze" "pretty:beautiful" "sweets:candy" "sweets:candy" "sleep:doze"
"clean:tidy" "large:big" "make:manufacture" "dress:frock" "large:big" "make:manufacture"
"room:chamber" "teach:instruct" "ugly:hideous" "pants:trousers" "ugly:hideous" "pants:trousers"
"raise:elevate" "house:abode" "house:dwelling" "cute:adorable" "cute:adorable" "raise:elevate"
"glass:cup" "boat:ship" "spin:twirl" "organization:club" "organization:club" "spin:twirl"
"old:mature" "seat:chair" "spectacles:glasses" "house:dwelling" "seat:chair" "house:dwelling"
"flammable:inflammable" "stick:attach" "tedious:monotonous" "raise:elevate" "tedious:monotonous" "raise:elevate"
"abode:house" "pretty:beautiful" "candy:sweets" "bathroom:lavatory" "abode:house" "candy:sweets"
"clean:tidy" "make:manufacture" "bathroom:restroom" "pants:trousers" "pants:trousers" "make:manufacture"
"sofa:chair" "large:big" "kid:child" "restroom:bathroom" "restroom:bathroom" "kid:child"
"ugly:hideous" "dream:fantasize" "urban:city" "sweets:candy" "ugly:hideous" "dream:fantasize"
"cellphone:mobile" "option:choice" "run:sprint" "couch:sofa" "cellphone:mobile" "run:sprint"
"house:home" "teach:instruct" "music:tunes" "house:abode" "music:tunes" "teach:instruct"
"dress:frock" "big:large" "beautiful:pretty" "room:chamber" "beautiful:pretty" "dress:frock"
"sleep:doze" "careful:cautious" "teach:instruct" "run:sprint" "careful:cautious" "run:sprint"
