#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            NLM/NLMScaled-7a.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-7a.txt
#   MaxDiff Answers File:         NLM/NLMMaxDiff-7a.txt
#   Number of Unique Pairs:       44
#   Number of MaxDiff Questions:  110
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"student:essay" "musician:instrument" "cloth:weaver" "judge:laws" "musician:instrument" "cloth:weaver"
"teacher:books" "weaver:cloth" "actress:script" "vintner:wine" "actress:script" "vintner:wine"
"toddler:crayon" "writer:pen" "florist:flowers" "spinner:yarn" "spinner:yarn" "florist:flowers"
"chef:ingredients" "poet:words" "camera:memories" "designer:fashions" "chef:ingredients" "designer:fashions"
"art:artist" "athlete:body" "composer:song" "writer:story" "composer:song" "athlete:body"
"mechanic:wrench" "artist:masterpiece" "teacher:assignment" "blacksmith:iron" "artist:masterpiece" "mechanic:wrench"
"architect:building" "novelist:books" "stove:meals" "photographer:camera" "novelist:books" "stove:meals"
"teacher:chalkboard" "burglar:heist" "butcher:meat" "baker:bread" "burglar:heist" "baker:bread"
"blender:slush" "sculptor:sculpture" "milliner:hat" "fashions:designer" "fashions:designer" "milliner:hat"
"artist:art" "programmer:code" "architect:drawings" "artist:paint" "programmer:code" "architect:drawings"
"wine:vintner" "chef:oven" "florist:roses" "slush:blender" "wine:vintner" "florist:roses"
"florist:flowers" "artist:art" "stove:meals" "poet:words" "artist:art" "stove:meals"
"slush:blender" "blender:slush" "programmer:code" "writer:story" "writer:story" "blender:slush"
"burglar:heist" "cloth:weaver" "designer:fashions" "blacksmith:iron" "burglar:heist" "designer:fashions"
"mechanic:wrench" "teacher:assignment" "butcher:meat" "spinner:yarn" "spinner:yarn" "mechanic:wrench"
"baker:bread" "milliner:hat" "art:artist" "athlete:body" "art:artist" "baker:bread"
"fashions:designer" "architect:drawings" "architect:building" "musician:instrument" "fashions:designer" "architect:drawings"
"wine:vintner" "chef:ingredients" "toddler:crayon" "sculptor:sculpture" "wine:vintner" "chef:ingredients"
"chef:oven" "artist:paint" "actress:script" "composer:song" "actress:script" "artist:paint"
"teacher:chalkboard" "writer:pen" "judge:laws" "teacher:books" "judge:laws" "teacher:chalkboard"
"florist:roses" "photographer:camera" "student:essay" "novelist:books" "student:essay" "florist:roses"
"vintner:wine" "weaver:cloth" "artist:masterpiece" "camera:memories" "weaver:cloth" "vintner:wine"
