#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            NLM/NLMScaled-10a.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-10a.txt
#   MaxDiff Answers File:         NLM/NLMMaxDiff-10a.txt
#   Number of Unique Pairs:       43
#   Number of MaxDiff Questions:  108
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"thunder:lightning" "moisture:cloud" "wrinkle:age" "sign:direction" "moisture:cloud" "wrinkle:age"
"camera:distrust" "diploma:education" "handshake:agreement" "green:go" "green:go" "camera:distrust"
"help:cry" "anger:glare" "flag:nation" "bell:dinner" "anger:glare" "bell:dinner"
"cloud:moisture" "glare:anger" "valentine:love" "rain:storm" "rain:storm" "valentine:love"
"alarm:action" "smoke:fire" "red:stop" "citation:violation" "smoke:fire" "citation:violation"
"license:permission" "thunder:storm" "cry:help" "smile:happiness" "thunder:storm" "smile:happiness"
"badge:authority" "yellow:caution" "compass:direction" "love:valentine" "love:valentine" "badge:authority"
"cross:faith" "crossbones:poison" "surgery:hospital" "shriek:panic" "surgery:hospital" "cross:faith"
"buzzer:end" "distrust:camera" "cross:christianity" "doctor:diagnosis" "distrust:camera" "cross:christianity"
"yarmulke:piety" "warning:trouble" "crown:sovereignty" "flashing:caution" "yarmulke:piety" "crown:sovereignty"
"crown:royalty" "engagement:wedding" "pregnancy:baby" "thunder:storm" "thunder:storm" "crown:royalty"
"crown:royalty" "valentine:love" "license:permission" "thunder:lightning" "thunder:lightning" "license:permission"
"cross:faith" "surgery:hospital" "handshake:agreement" "diploma:education" "surgery:hospital" "handshake:agreement"
"engagement:wedding" "cloud:moisture" "cross:christianity" "alarm:action" "engagement:wedding" "cross:christianity"
"distrust:camera" "crossbones:poison" "bell:dinner" "camera:distrust" "distrust:camera" "camera:distrust"
"smoke:fire" "red:stop" "pregnancy:baby" "badge:authority" "pregnancy:baby" "badge:authority"
"cry:help" "buzzer:end" "flag:nation" "flashing:caution" "flag:nation" "flashing:caution"
"yarmulke:piety" "compass:direction" "doctor:diagnosis" "wrinkle:age" "doctor:diagnosis" "yarmulke:piety"
"warning:trouble" "smile:happiness" "moisture:cloud" "yellow:caution" "moisture:cloud" "yellow:caution"
"green:go" "glare:anger" "anger:glare" "love:valentine" "love:valentine" "glare:anger"
"citation:violation" "help:cry" "crown:sovereignty" "rain:storm" "help:cry" "crown:sovereignty"
"shriek:panic" "sign:direction" "pregnancy:baby" "thunder:storm" "thunder:storm" "shriek:panic"
"moisture:cloud" "citation:violation" "help:cry" "wrinkle:age" "help:cry" "citation:violation"
"flag:nation" "badge:authority" "camera:distrust" "cross:christianity" "flag:nation" "badge:authority"
"glare:anger" "rain:storm" "green:go" "yarmulke:piety" "rain:storm" "yarmulke:piety"
"buzzer:end" "engagement:wedding" "diploma:education" "flashing:caution" "engagement:wedding" "flashing:caution"
"love:valentine" "shriek:panic" "thunder:lightning" "smile:happiness" "love:valentine" "smile:happiness"
"surgery:hospital" "crown:royalty" "alarm:action" "cross:faith" "surgery:hospital" "crown:royalty"
"bell:dinner" "yellow:caution" "sign:direction" "distrust:camera" "distrust:camera" "yellow:caution"
"warning:trouble" "cry:help" "anger:glare" "crossbones:poison" "anger:glare" "warning:trouble"
"license:permission" "valentine:love" "compass:direction" "smoke:fire" "smoke:fire" "license:permission"
"doctor:diagnosis" "cloud:moisture" "red:stop" "crown:sovereignty" "red:stop" "crown:sovereignty"
"handshake:agreement" "thunder:lightning" "compass:direction" "warning:trouble" "thunder:lightning" "warning:trouble"
"handshake:agreement" "thunder:storm" "yellow:caution" "crossbones:poison" "thunder:storm" "yellow:caution"
"green:go" "alarm:action" "valentine:love" "pregnancy:baby" "pregnancy:baby" "valentine:love"
"moisture:cloud" "smoke:fire" "glare:anger" "cry:help" "moisture:cloud" "glare:anger"
"flashing:caution" "help:cry" "badge:authority" "engagement:wedding" "help:cry" "badge:authority"
"cross:christianity" "crown:royalty" "love:valentine" "sign:direction" "love:valentine" "crown:royalty"
"flag:nation" "cloud:moisture" "wrinkle:age" "shriek:panic" "flag:nation" "wrinkle:age"
