
Generated by:                                     score_maxdiff.pl
Mechanical Turk File:                             Training/Phase2Answers/Phase2Answers-1a.txt
Test File:                                        NLM/NLMMaxDiff-1a.txt
Number of MaxDiff Questions:                      103
Number of Least Illustrative Guessed Correctly:   26
Number of Least Illustrative Guessed Incorrectly: 77
Accuracy of Least Illustrative Guesses:            25.2%
Number of Most Illustrative Guessed Correctly:    54
Number of Most Illustrative Guessed Incorrectly:  49
Accuracy of Most Illustrative Guesses:             52.4%
Overall Accuracy:                                  38.8%
