#
#   Generated by:                 scale_to_maxdiff.pl
#   Scaled Pairs File:            NLM/NLMScaled-2c.txt
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-2c.txt
#   MaxDiff Answers File:         NLM/NLMMaxDiff-2c.txt
#   Number of Unique Pairs:       43
#   Number of MaxDiff Questions:  108
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"foot:inch" "air:puff" "page:paragraph" "pie:slices" "page:paragraph" "air:puff"
"scene:movie" "feet:inches" "instant:nanosecond" "poem:verses" "scene:movie" "feet:inches"
"pound:ounce" "soup:spoonful" "state:county" "gallon:quart" "state:county" "soup:spoonful"
"week:day" "school:student" "day:week" "thread:snip" "thread:snip" "school:student"
"dollar:coins" "seconds:hour" "chain:link" "earthworm:segment" "seconds:hour" "earthworm:segment"
"book:chapter" "hour:seconds" "symphony:movements" "cake:slice" "book:chapter" "cake:slice"
"body:cell" "book:chapters" "hive:bee" "book:pages" "body:cell" "book:pages"
"pizza:slice" "cloth:fibers" "country:city" "blood:droplets" "country:city" "pizza:slice"
"chapter:page" "cell:body" "droplets:blood" "movie:scene" "droplets:blood" "cell:body"
"book:page" "quarter:pennies" "song:notes" "gallon:ounce" "book:page" "quarter:pennies"
"forest:tree" "train:car" "quilt:squares" "school:student" "quilt:squares" "school:student"
"symphony:movements" "gallon:quart" "gallon:ounce" "chain:link" "chain:link" "gallon:quart"
"pizza:slice" "cloth:fibers" "instant:nanosecond" "pound:ounce" "instant:nanosecond" "pizza:slice"
"train:car" "hive:bee" "book:chapter" "pie:slices" "hive:bee" "pie:slices"
"hour:seconds" "body:cell" "cake:slice" "day:week" "body:cell" "cake:slice"
"foot:inch" "thread:snip" "air:puff" "book:chapters" "thread:snip" "air:puff"
"earthworm:segment" "cell:body" "chapter:page" "blood:droplets" "chapter:page" "blood:droplets"
"feet:inches" "dollar:coins" "droplets:blood" "seconds:hour" "droplets:blood" "dollar:coins"
"page:paragraph" "book:pages" "country:city" "forest:tree" "forest:tree" "book:pages"
"movie:scene" "scene:movie" "poem:verses" "state:county" "scene:movie" "movie:scene"
"book:page" "week:day" "soup:spoonful" "quarter:pennies" "week:day" "soup:spoonful"
"song:notes" "quilt:squares" "pound:ounce" "body:cell" "quilt:squares" "pound:ounce"
"chain:link" "song:notes" "droplets:blood" "book:chapter" "droplets:blood" "chain:link"
"air:puff" "gallon:ounce" "dollar:coins" "earthworm:segment" "gallon:ounce" "air:puff"
"thread:snip" "quilt:squares" "chapter:page" "hour:seconds" "quilt:squares" "hour:seconds"
"cake:slice" "state:county" "instant:nanosecond" "page:paragraph" "instant:nanosecond" "cake:slice"
"gallon:quart" "hive:bee" "foot:inch" "country:city" "hive:bee" "gallon:quart"
"book:chapters" "scene:movie" "cloth:fibers" "pie:slices" "scene:movie" "cloth:fibers"
"day:week" "feet:inches" "soup:spoonful" "book:pages" "feet:inches" "soup:spoonful"
"blood:droplets" "forest:tree" "quarter:pennies" "movie:scene" "forest:tree" "blood:droplets"
"week:day" "cell:body" "pizza:slice" "train:car" "train:car" "pizza:slice"
"book:page" "school:student" "symphony:movements" "poem:verses" "poem:verses" "school:student"
"seconds:hour" "hive:bee" "state:county" "earthworm:segment" "hive:bee" "earthworm:segment"
"dollar:coins" "book:page" "cake:slice" "hour:seconds" "book:page" "cake:slice"
"school:student" "gallon:quart" "book:pages" "foot:inch" "book:pages" "school:student"
"cloth:fibers" "movie:scene" "train:car" "droplets:blood" "droplets:blood" "cloth:fibers"
"blood:droplets" "country:city" "pie:slices" "thread:snip" "thread:snip" "blood:droplets"
"air:puff" "quarter:pennies" "soup:spoonful" "week:day" "week:day" "air:puff"
"cell:body" "chain:link" "feet:inches" "gallon:ounce" "feet:inches" "cell:body"
"page:paragraph" "chapter:page" "scene:movie" "seconds:hour" "seconds:hour" "page:paragraph"
"pound:ounce" "forest:tree" "book:chapter" "symphony:movements" "forest:tree" "symphony:movements"
"body:cell" "quilt:squares" "poem:verses" "instant:nanosecond" "quilt:squares" "poem:verses"
"song:notes" "day:week" "pizza:slice" "book:chapters" "book:chapters" "pizza:slice"
"week:day" "movie:scene" "pound:ounce" "feet:inches" "week:day" "movie:scene"
"cloth:fibers" "train:car" "earthworm:segment" "gallon:quart" "train:car" "earthworm:segment"
"droplets:blood" "book:page" "soup:spoonful" "dollar:coins" "droplets:blood" "soup:spoonful"
